Tcm,Tem,Tfh,Treg,Activated CD8,Dysfunc CD8,Terminal exhaustion,Precursor exhaustion,NK,B cells memory,B cells naive,Macrophage M1,Macrophage M2,Plasmablasts,MDSC,Monocytes,cDC,pDC,CAFs MSC iCAF-like,CAFs myCAF-like,Endothelial,PT_like,ProInflammatory,EMT_like,PI3K
NA,NA,PTPRC,TRBC1,NA,CD19,NA,NA,KRT86,NCF1,STAG3,HLA-DRB5,C15orf48,IGKV1-8,NA,HLA-DQA1,NA,NA,AEBP1,NA,IFITM3,SLC22A11,NA,RHOB,NA
NA,NA,LAT,CREM,NA,IL2RG,NA,NA,CRTAM,LTB,CD19,FCGR2A,FCGR3A,IGLV4-69,NA,CD74,NA,NA,NA,NA,IGFBP4,BBOX1,NA,CRIP1,NA
NA,NA,TRBC2,CYTIP,NA,SNTB1,NA,NA,NA,FCRLA,MEF2C,FOLR2,PSAP,IGHG4,NA,C1orf162,NA,NA,NA,NA,FKBP1A,DPYS,NA,EGR1,NA
NA,NA,NA,SAMSN1,NA,KDM5B,NA,NA,NA,NA,RCSD1,PSAP,SERPINA1,IGKV1-16,NA,CXCL10,NA,NA,NA,NA,TM4SF1,SLC16A9,NA,FOS,NA
NA,NA,NA,PIM2,NA,UTP15,NA,NA,NA,NA,STK17A,CXCL2,TNFSF13B,IGKV3D-11,NA,CYBB,NA,NA,NA,NA,PLPP1,PCK1,NA,PLVAP,NA
NA,NA,NA,SH2D2A,NA,LATS2,NA,NA,NA,NA,LIMD2,HLA-DQB1,TYMP,IGHA1,NA,CD68,NA,NA,NA,NA,HYAL2,AQP1,NA,MMP7,NA
NA,NA,NA,GBP5,NA,RASSF2,NA,NA,NA,NA,IL4R,CYBB,GRN,IGHV3-15,NA,C5AR1,NA,NA,NA,NA,SLC9A3R2,SLC4A4,NA,DEPP1,NA
NA,NA,NA,CD3E,NA,IFI30,NA,NA,NA,NA,TXNIP,FCGRT,SPI1,IGHV3-74,NA,FGL2,NA,NA,NA,NA,CRIP2,SULT1C2,NA,SERPINE1,NA
NA,NA,NA,STK17B,NA,KDM4B,NA,NA,NA,NA,IRF8,STAB1,APOBEC3A,IGLV3-19,NA,TYMP,NA,NA,NA,NA,PDLIM1,AMN,NA,CCN1,NA
NA,NA,NA,PTPRC,NA,IER5,NA,NA,NA,NA,TNFRSF13C,SGK1,IFIT2,NA,NA,RGS2,NA,NA,NA,NA,COL15A1,SLC3A1,NA,WFDC2,NA
NA,NA,NA,RAC2,NA,CD5,NA,NA,NA,NA,HLA-DMA,CD83,CTSC,NA,NA,PLEK,NA,NA,NA,NA,COL4A1,PLIN2,NA,EGFL7,NA
NA,NA,NA,IKZF2,NA,MNDAL,NA,NA,NA,NA,HLA-DQA2,CST3,IL1B,NA,NA,S100A8,NA,NA,NA,NA,EPAS1,ACAD11,NA,VWF,NA
NA,NA,NA,LCK,NA,PCGF5,NA,NA,NA,NA,SNX2,LGMN,CD14,NA,NA,NAMPT,NA,NA,NA,NA,PRCP,PTH1R,NA,HSPG2,NA
NA,NA,NA,PELI1,NA,GPR35,NA,NA,NA,NA,HLA-DRB5,CCL4L2,CXCL8,NA,NA,CD14,NA,NA,NA,NA,PALMD,EPS8L2,NA,GAS6,NA
NA,NA,NA,CACYBP,NA,SPRY1,NA,NA,NA,NA,RALGPS2,PLAUR,SPP1,NA,NA,COTL1,NA,NA,NA,NA,EMP1,CUBN,NA,KCNE3,NA
NA,NA,NA,SOD1,NA,TNIP1,NA,NA,NA,NA,NA,MRC1,TMEM176B,NA,NA,OLR1,NA,NA,NA,NA,CD36,COL23A1,NA,EMP1,NA
NA,NA,NA,LAT,NA,CSNK1D,NA,NA,NA,NA,NA,CTSZ,CCL3L3,NA,NA,APOBEC3A,NA,NA,NA,NA,CD93,HIPK2,NA,PECAM1,NA
NA,NA,NA,MAGEH1,NA,NSMCE1,NA,NA,NA,NA,NA,SAT1,CTSD,NA,NA,CXCL3,NA,NA,NA,NA,TCF4,NDRG1,NA,CFH,NA
NA,NA,NA,RHOH,NA,NR4A1,NA,NA,NA,NA,NA,CSF1R,CYBB,NA,NA,C1QA,NA,NA,NA,NA,SOCS3,ADSSL1,NA,AQP1,NA
NA,NA,NA,CLEC2D,NA,OSBPL11,NA,NA,NA,NA,NA,NPC2,IL4I1,NA,NA,MNDA,NA,NA,NA,NA,PTRF,CDHR2,NA,SPRY1,NA
NA,NA,NA,SKAP1,NA,PNRC1,NA,NA,NA,NA,NA,C5AR1,G0S2,NA,NA,NPC2,NA,NA,NA,NA,COL4A2,ANGPTL4,NA,NR4A1,NA
NA,NA,NA,ARHGDIB,NA,ITGAE,NA,NA,NA,NA,NA,MAFB,LILRB4,NA,NA,S100A12,NA,NA,NA,NA,FLT1,HPN,NA,PCDH17,NA
NA,NA,NA,SELL,NA,SNX18,NA,NA,NA,NA,NA,HLA-DMA,CTSZ,NA,NA,C1QB,NA,NA,NA,NA,PDK4,AGMAT,NA,EPAS1,NA
NA,NA,NA,PRDM1,NA,TMEM55B,NA,NA,NA,NA,NA,SOD2,GPX1,NA,NA,IL1RN,NA,NA,NA,NA,CYYR1,HSF4,NA,TIMP3,NA
NA,NA,NA,ISG20,NA,IKZF2,NA,NA,NA,NA,NA,TMEM176A,CTSS,NA,NA,C1QC,NA,NA,NA,NA,ID3,SLC2A2,NA,SPARCL1,NA
NA,NA,NA,CORO1A,NA,ISCU,NA,NA,NA,NA,NA,TMEM176B,BCL2A1,NA,NA,LGALS2,NA,NA,NA,NA,CXorf36,ALDH8A1,NA,ANGPT2,NA
NA,NA,NA,CORO1B,NA,FAM196B,NA,NA,NA,NA,NA,SPI1,IL1RN,NA,NA,FCGR3A,NA,NA,NA,NA,BCAM,KHK,NA,MYH9,NA
NA,NA,NA,STK4,NA,TMEM243,NA,NA,NA,NA,NA,MMP19,PLAUR,NA,NA,FAM26F,NA,NA,NA,NA,NA,CDHR5,NA,COL18A1,NA
NA,NA,NA,LAIR2,NA,ZFP62,NA,NA,NA,NA,NA,CTSD,NPC2,NA,NA,RP11-1143G9.4,NA,NA,NA,NA,NA,ALPL,NA,ATF3,NA
NA,NA,NA,BTG1,NA,RASGEF1B,NA,NA,NA,NA,NA,GRN,CST3,NA,NA,CCL3,NA,NA,NA,NA,NA,NAT8,NA,SLC34A2,NA
NA,NA,NA,PHLDA1,NA,DTWD1,NA,NA,NA,NA,NA,MS4A4A,NA,NA,NA,SLC11A1,NA,NA,NA,NA,NA,BHMT,NA,NID1,NA
NA,NA,NA,NA,NA,GNA13,NA,NA,NA,NA,NA,CXCL3,NA,NA,NA,GRN,NA,NA,NA,NA,NA,GAL3ST1,NA,ESM1,NA
NA,NA,NA,NA,NA,JAK2,NA,NA,NA,NA,NA,SLCO2B1,NA,NA,NA,HLA-DMA,NA,NA,NA,NA,NA,ACE2,NA,CLDN4,NA
NA,NA,NA,NA,NA,EIF3F,NA,NA,NA,NA,NA,CD163,NA,NA,NA,PSAP,NA,NA,NA,NA,NA,CDK18,NA,NA,NA
NA,NA,NA,NA,NA,CCR7,NA,NA,NA,NA,NA,NA,NA,NA,NA,VCAN,NA,NA,NA,NA,NA,GLYAT,NA,NA,NA
NA,NA,NA,NA,NA,SGPP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP1S2,NA,NA,NA,NA,NA,HAVCR1,NA,NA,NA
NA,NA,NA,NA,NA,SLAMF7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNFSF13B,NA,NA,NA,NA,NA,ANXA4,NA,NA,NA
NA,NA,NA,NA,NA,QRICH1,NA,NA,NA,NA,NA,NA,NA,NA,NA,PPIF,NA,NA,NA,NA,NA,SCARB1,NA,NA,NA
NA,NA,NA,NA,NA,EML4,NA,NA,NA,NA,NA,NA,NA,NA,NA,MS4A7,NA,NA,NA,NA,NA,MGAM,NA,NA,NA
NA,NA,NA,NA,NA,CACNB3,NA,NA,NA,NA,NA,NA,NA,NA,NA,ITGB2,NA,NA,NA,NA,NA,TXN,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTSB,NA,NA,NA,NA,NA,ACAA2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IGSF6,NA,NA,NA,NA,NA,ZMAT4,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CCL3L3,NA,NA,NA,NA,NA,CLTRN,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CYBA,NA,NA,NA,NA,NA,CD70,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CSTA,NA,NA,NA,NA,NA,HPCAL1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MMP19,NA,NA,NA,NA,NA,ACMSD,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IFI30,NA,NA,NA,NA,NA,ALDH1A1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLEC7A,NA,NA,NA,NA,NA,FBXL8,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RNF130,NA,NA,NA,NA,NA,UGT2A3,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FCGR2A,NA,NA,NA,NA,NA,GALNT11,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CD83,NA,NA,NA,NA,NA,TSPAN1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RAB31,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LILRB2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NLRP3,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTSH,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IER3,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
